ABDCQF01,ABDCQF02,ABDCQF03,ABDCQF04,BS,CALI,DRHO,DT,GR,NPHI,PEF,RACEHM,RACELM,RD,RHOB,RM,ROP,RPCEHM,RPCELM,RT,BVW,COAL_FLAG,KLOGH,PHIF,SAND_FLAG,SW,VCARB,VSH
2.5483,2.4952,2.3933,2.484,8.5,8.6875,0.0637,116.5019,221.0936,0.384,7.421,1.8654,1.817,1.5483,2.4518,1.3592,17.6579,1.3592,1.5483,1.3592,,0.0,,,,,,0.8769
2.5228,2.4357,2.3291,2.4361,8.5,8.6484,0.0607,116.4829,239.3589,0.4192,7.4345,1.8147,1.8235,1.783,2.3986,1.7933,17.6988,1.7933,1.783,1.7933,,0.0,,,,,,0.9546
2.4859,2.371,2.2842,2.3853,8.5,8.625,0.0552,116.7106,252.6867,0.4503,7.433,1.7138,1.8254,1.9701,2.3502,2.291,17.7397,2.291,1.9701,2.291,,0.0,,,,,,1.0114
2.4297,2.3168,2.2681,2.3359,8.5,8.6719,0.0473,117.0593,260.7379,0.4707,7.4592,1.691,1.8257,2.0257,2.3128,2.4269,17.7214,2.4269,2.0257,2.4269,,0.0,,,,,,1.0456
2.3642,2.2861,2.2735,2.2976,8.5,8.6719,0.0392,117.5664,273.1824,0.4821,7.5258,1.8326,1.8765,1.9577,2.2898,2.1413,17.7032,2.1413,1.9577,2.1413,,0.0,,,,,,1.0986
2.3076,2.2762,2.2837,2.2761,8.5,8.6719,0.0337,117.6636,277.1924,0.4853,7.596,1.9766,1.9411,1.8564,2.2802,1.8731,17.6851,1.8731,1.8564,1.8731,,0.0,,,,,,1.1157
2.2739,2.2774,2.2897,2.2705,8.5,8.6719,0.0312,117.6995,279.659,0.4843,7.6301,2.006,1.9726,1.8347,2.2782,1.8046,17.776,1.8046,1.8348,1.8046,,0.0,,,,,,1.1262
2.2648,2.2793,2.2938,2.2734,8.5,8.6719,0.0306,117.8142,279.5433,0.4802,7.612,1.96,1.9919,1.9181,2.2805,1.9277,17.867,1.9278,1.9181,1.9278,,0.0,,,,,,1.1257
2.2694,2.2776,2.3006,2.2784,8.5,8.6719,0.0317,118.035,283.3142,0.4733,7.5529,1.8635,1.9954,2.1233,2.2845,2.3449,17.9582,2.3449,2.1232,2.3449,,0.0,,,,,,1.1417
2.2763,2.2749,2.3077,2.2841,8.5,8.6719,0.0352,118.3145,290.2747,0.4696,7.4716,2.0952,2.1055,1.8712,2.2885,1.8405,18.2003,1.8405,1.8711,1.8405,,0.0,,,,,,1.1714
2.2811,2.2745,2.3071,2.2906,8.5,8.625,0.04,118.6765,292.2383,0.4688,7.3736,2.4778,2.1726,1.6197,2.2898,1.1572,18.4424,1.1571,1.6197,1.1571,,0.0,,,,,,1.1797
2.2861,2.2748,2.2953,2.2939,8.5,8.625,0.0434,119.0135,293.7978,0.474,7.2675,2.6413,2.2532,1.4469,2.2861,1.0171,18.6845,1.0172,1.4469,1.0172,,0.0,,,,,,1.1864
2.2895,2.2707,2.2769,2.2907,8.5,8.625,0.043,119.3135,296.1354,0.4794,7.1805,2.2058,2.1825,1.8186,2.2773,1.7014,18.8968,1.7015,1.8186,1.7015,,0.0,,,,,,1.1963
2.2839,2.2607,2.2623,2.284,8.5,8.625,0.0394,119.5018,296.7396,0.4804,7.1369,2.0702,2.139,2.2521,2.2666,2.513,19.109,2.5129,2.2521,2.5129,,0.0,,,,,,1.1989
2.2686,2.2507,2.2557,2.2817,8.5,8.625,0.036,119.5761,292.3756,0.4798,7.1437,2.3103,2.226,2.183,2.2587,2.2653,19.321,2.2653,2.183,2.2653,,0.0,,,,,,1.1803
2.2534,2.2475,2.2542,2.2872,8.5,8.625,0.0354,119.5534,290.1405,0.4819,7.1784,2.5282,2.2756,2.1388,2.2569,2.0754,19.3901,2.0754,2.1388,2.0754,,0.0,,,,,,1.1708
2.249,2.2512,2.2537,2.2969,8.5,8.625,0.0372,119.2936,289.799,0.4864,7.2186,2.5805,2.3049,2.1714,2.2594,2.0967,19.4593,2.0967,2.1714,2.0967,,0.0,,,,,,1.1694
2.2554,2.2558,2.2525,2.3052,8.5,8.625,0.0396,119.0446,290.2412,0.4917,7.2494,2.5245,2.3034,2.2583,2.263,2.276,19.5284,2.2759,2.2583,2.2759,,0.0,,,,,,1.1712
2.2631,2.2575,2.2504,2.3086,8.5,8.625,0.041,118.8069,293.1697,0.4987,7.2645,2.6407,2.3381,2.232,2.2644,2.1932,19.5639,2.1932,2.232,2.1932,,0.0,,,,,,1.1837
2.265,2.2563,2.248,2.3074,8.5,8.625,0.0409,118.6137,295.1251,0.5062,7.2665,2.5794,2.3491,2.2287,2.2628,2.2068,19.5993,2.2068,2.2287,2.2068,,0.0,,,,,,1.192
2.263,2.2527,2.2468,2.302,8.5,8.625,0.0395,118.443,296.955,0.5104,7.2699,2.4603,2.3324,2.3427,2.2592,2.4215,19.6347,2.4215,2.3427,2.4215,,0.0,,,,,,1.1998
2.2598,2.2468,2.2482,2.2925,8.5,8.625,0.0369,118.2898,292.923,0.5058,7.2919,2.4838,2.3597,2.3818,2.2548,2.5196,19.6702,2.5195,2.3818,2.5195,,0.0,,,,,,1.1827
2.2554,2.2412,2.2523,2.279,8.5,8.625,0.0341,118.1509,290.4748,0.492,7.3196,2.5416,2.3717,2.3318,2.251,2.3787,19.7057,2.3787,2.3318,2.3787,,0.0,,,,,,1.1722
2.2509,2.2415,2.2572,2.2649,8.5,8.625,0.0326,118.0619,290.3185,0.4777,7.3202,2.6798,2.4291,2.2276,2.2493,2.1025,19.7403,2.1025,2.2276,2.1025,,0.0,,,,,,1.1716
2.2498,2.2488,2.261,2.2556,8.5,8.625,0.0336,118.0183,288.7165,0.468,7.2748,2.6787,2.4428,2.2417,2.2507,2.1014,19.3614,2.1014,2.2417,2.1014,,0.0,,,,,,1.1647
2.2539,2.2569,2.2634,2.2513,8.5,8.6016,0.0357,118.143,293.3893,0.4642,7.2026,2.603,2.4518,2.3488,2.2533,2.3031,18.9826,2.3031,2.3488,2.3031,,0.0,,,,,,1.1847
2.259,2.2586,2.2642,2.248,8.5,8.625,0.0362,118.2554,287.7664,0.4597,7.1529,2.5933,2.4716,2.3861,2.2536,2.3696,18.6046,2.3696,2.3861,2.3696,,0.0,,,,,,1.1607
2.2582,2.2528,2.2618,2.243,8.5,8.625,0.033,118.3544,284.1282,0.4608,7.1645,2.6399,2.4631,2.3764,2.2498,2.3274,18.7383,2.3274,2.3764,2.3274,,0.0,,,,,,1.1453
2.2454,2.2465,2.2567,2.2374,8.5,8.625,0.0263,118.5284,279.8032,0.4657,7.2493,2.6907,2.4857,2.3567,2.2437,2.285,18.8719,2.285,2.3567,2.285,,0.0,,,,,,1.1268
2.2269,2.2489,2.2509,2.2373,8.5,8.625,0.0201,118.6255,278.0695,0.4706,7.3676,2.6784,2.4686,2.4199,2.2406,2.3923,19.0057,2.3923,2.4199,2.3923,,0.0,,,,,,1.1195
2.2211,2.2623,2.2466,2.244,8.5,8.6016,0.0192,118.616,270.8896,0.4724,7.4372,2.6703,2.4758,2.4649,2.2443,2.5278,19.1593,2.5278,2.4649,2.5278,,0.0,,,,,,1.089
2.2443,2.2803,2.2435,2.2534,8.5,8.5781,0.025,118.4842,262.5709,0.4653,7.3955,2.65,2.4516,2.4914,2.2531,2.5981,19.3128,2.5981,2.4914,2.5981,,0.0,,,,,,1.0535
2.2896,2.2913,2.2398,2.2575,8.5,8.5781,0.0337,118.2559,259.2363,0.4564,7.2388,2.6246,2.4709,2.4758,2.261,2.564,19.4662,2.5639,2.4758,2.5639,,0.0,,,,,,1.0393
2.3232,2.2854,2.236,2.2523,8.5,8.625,0.0397,117.8923,260.1667,0.4479,7.0171,2.602,2.4624,2.4368,2.2611,2.481,19.5424,2.481,2.4368,2.481,,0.0,,,,,,1.0433
2.3182,2.2654,2.2344,2.2436,8.5,8.625,0.0397,117.5168,260.8581,0.444,6.8175,2.6108,2.4736,2.3723,2.2528,2.3596,19.6186,2.3596,2.3723,2.3596,,0.0,,,,,,1.0462
2.2828,2.2437,2.2365,2.2387,8.5,8.625,0.0367,117.1456,267.7353,0.4397,6.6993,2.5991,2.4811,2.3778,2.2431,2.3812,19.6947,2.3812,2.3778,2.3812,,0.0,,,,,,1.0755
2.245,2.2309,2.2422,2.2398,8.5,8.625,0.0341,116.7868,264.4479,0.4366,6.6723,2.5258,2.4531,2.3992,2.2381,2.466,19.7218,2.466,2.3992,2.466,,0.0,,,,,,1.0615
2.2249,2.2298,2.2503,2.2451,8.5,8.625,0.0328,116.5155,261.4126,0.4379,6.7203,2.5265,2.4644,2.3558,2.2397,2.3875,19.7488,2.3875,2.3558,2.3875,,0.0,,,,,,1.0486
2.2248,2.2349,2.2629,2.2535,8.5,8.625,0.0301,116.2848,259.7814,0.4442,6.8528,2.515,2.4538,2.3099,2.2477,2.2843,19.7759,2.2843,2.3099,2.2843,,0.0,,,,,,1.0416
