ABDCQF01,ABDCQF02,ABDCQF03,ABDCQF04,BS,CALI,DRHO,DT,DTS,GR,NPHI,PEF,RACEHM,RACELM,RD,RHOB,RM,ROP,RPCEHM,RPCELM,RT,BVW,CARB_FLAG,COAL_FLAG,KLOGH,PHIF,SAND_FLAG,SW,VSH
2.476,2.457,2.467,2.487,8.5,8.703,0.047,85.625,141.251,101.957,0.229,6.843,2.099,2.267,2.228,2.462,2.422,10.357,2.422,2.228,2.422,0.119,,,0.001,0.119,,1.0,0.844
2.495,2.484,2.479,2.502,8.5,8.703,0.05,84.718,141.388,98.409,0.219,6.817,2.128,2.271,2.139,2.48,2.204,10.148,2.204,2.139,2.204,0.109,,,0.001,0.109,,1.0,0.814
2.51,2.511,2.488,2.511,8.5,8.703,0.054,83.734,141.161,96.745,0.214,6.792,2.128,2.259,2.093,2.497,2.089,9.938,2.089,2.093,2.089,0.098,,,0.001,0.098,,1.0,0.8
2.518,2.525,2.494,2.514,8.5,8.703,0.057,82.677,140.366,96.132,0.214,6.779,2.081,2.221,2.124,2.51,2.194,9.729,2.194,2.124,2.194,0.091,0.0,0.0,0.001,0.091,0.0,1.0,0.794
2.519,2.524,2.497,2.514,8.5,8.687,0.057,81.456,139.508,95.004,0.216,6.8,2.04,2.177,2.128,2.514,2.261,10.004,2.261,2.128,2.261,0.088,0.0,0.0,0.001,0.088,0.0,1.0,0.785
2.517,2.513,2.499,2.517,8.5,8.672,0.052,80.836,138.845,94.833,0.214,6.869,2.017,2.157,2.106,2.513,2.249,10.279,2.249,2.106,2.249,0.089,0.0,0.0,0.001,0.089,0.0,1.0,0.783
2.516,2.506,2.502,2.525,8.5,8.672,0.046,81.743,138.684,92.694,0.209,6.956,1.986,2.128,2.091,2.51,2.231,10.554,2.231,2.091,2.231,0.09,0.0,0.0,0.001,0.09,0.0,1.0,0.765
2.519,2.507,2.508,2.534,8.5,8.693,0.042,82.183,139.234,92.471,0.202,7.019,1.94,2.096,2.072,2.511,2.231,11.559,2.231,2.072,2.231,0.09,0.0,0.0,0.001,0.09,0.0,1.0,0.763
2.528,2.514,2.517,2.541,8.5,8.672,0.041,82.529,140.061,90.887,0.203,7.042,1.92,2.07,2.015,2.516,2.135,12.564,2.135,2.015,2.135,0.087,0.0,0.0,0.001,0.087,0.0,1.0,0.749
2.542,2.522,2.528,2.544,8.5,8.672,0.045,83.008,141.084,91.212,0.205,7.037,1.925,2.063,1.929,2.526,1.942,13.568,1.942,1.929,1.942,0.081,0.0,0.0,0.001,0.081,0.0,1.0,0.752
2.557,2.53,2.538,2.544,8.5,8.672,0.052,83.193,141.405,92.592,0.208,7.019,1.942,2.056,1.795,2.538,1.666,14.585,1.666,1.795,1.666,0.073,0.0,0.0,0.001,0.073,0.0,1.0,0.764
2.563,2.54,2.542,2.541,8.5,8.672,0.059,83.277,141.288,93.744,0.21,6.994,1.854,2.002,1.873,2.546,1.885,15.601,1.885,1.873,1.885,0.068,0.0,0.0,0.001,0.068,0.0,1.0,0.774
2.559,2.55,2.539,2.537,8.5,8.672,0.063,83.411,140.495,92.801,0.212,6.968,1.767,1.95,1.945,2.547,2.135,16.617,2.135,1.945,2.135,0.068,0.0,0.0,0.001,0.068,0.0,1.0,0.766
2.548,2.555,2.533,2.534,8.5,8.672,0.065,83.684,139.683,88.412,0.214,6.949,1.777,1.94,1.852,2.543,1.912,17.622,1.912,1.852,1.912,0.07,0.0,0.0,0.001,0.07,0.0,1.0,0.728
2.537,2.556,2.53,2.534,8.5,8.672,0.065,83.997,138.868,87.285,0.218,6.945,1.76,1.915,1.815,2.539,1.862,18.626,1.862,1.815,1.862,0.073,0.0,0.0,0.001,0.073,0.0,1.0,0.718
2.528,2.554,2.532,2.538,8.5,8.672,0.065,84.154,138.089,87.332,0.222,6.956,1.744,1.895,1.792,2.537,1.83,19.631,1.83,1.792,1.83,0.074,0.0,0.0,0.001,0.074,0.0,1.0,0.718
2.526,2.55,2.538,2.541,8.5,8.672,0.066,84.261,137.284,88.855,0.226,6.974,1.737,1.873,1.766,2.537,1.805,19.665,1.805,1.766,1.805,0.074,0.0,0.0,0.001,0.074,0.0,1.0,0.731
2.526,2.545,2.542,2.542,8.5,8.672,0.067,84.316,136.483,91.849,0.226,6.965,1.716,1.846,1.745,2.537,1.774,19.699,1.774,1.745,1.774,0.074,0.0,0.0,0.001,0.074,0.0,1.0,0.757
2.528,2.54,2.543,2.541,8.5,8.672,0.068,84.189,135.854,91.515,0.225,6.907,1.702,1.828,1.734,2.536,1.771,19.734,1.771,1.734,1.771,0.074,0.0,0.0,0.001,0.074,0.0,1.0,0.754
2.528,2.54,2.539,2.54,8.5,8.672,0.067,84.056,135.877,91.785,0.223,6.808,1.685,1.809,1.725,2.535,1.793,19.729,1.793,1.725,1.793,0.075,0.0,0.0,0.001,0.075,0.0,1.0,0.757
2.527,2.542,2.534,2.538,8.5,8.672,0.067,83.922,136.384,91.756,0.223,6.701,1.671,1.802,1.729,2.533,1.813,19.724,1.813,1.729,1.813,0.077,0.0,0.0,0.001,0.077,0.0,1.0,0.757
2.525,2.545,2.529,2.536,8.5,8.672,0.065,83.842,137.059,90.311,0.224,6.629,1.659,1.787,1.729,2.53,1.816,19.719,1.816,1.729,1.816,0.078,0.0,0.0,0.001,0.078,0.0,1.0,0.744
2.525,2.545,2.527,2.534,8.5,8.672,0.064,83.758,137.987,89.582,0.227,6.612,1.661,1.785,1.719,2.529,1.799,19.731,1.799,1.719,1.799,0.079,0.0,0.0,0.001,0.079,0.0,1.0,0.738
2.528,2.544,2.529,2.532,8.5,8.672,0.064,83.67,139.131,88.415,0.229,6.637,1.658,1.78,1.722,2.53,1.807,19.743,1.807,1.722,1.807,0.078,0.0,0.0,0.001,0.078,0.0,1.0,0.728
2.534,2.546,2.536,2.532,8.5,8.672,0.064,83.608,139.917,87.38,0.231,6.688,1.659,1.769,1.728,2.534,1.827,19.755,1.827,1.728,1.827,0.076,0.0,0.0,0.001,0.076,0.0,1.0,0.719
2.538,2.553,2.548,2.53,8.5,8.672,0.064,83.509,140.759,85.842,0.232,6.75,1.659,1.765,1.736,2.54,1.853,19.745,1.853,1.736,1.853,0.072,0.0,0.0,0.001,0.072,0.0,1.0,0.706
2.536,2.56,2.558,2.528,8.5,8.672,0.063,83.372,141.669,84.856,0.23,6.801,1.649,1.762,1.744,2.545,1.876,19.735,1.876,1.744,1.876,0.069,0.0,0.0,0.001,0.069,0.0,1.0,0.697
2.527,2.564,2.564,2.523,8.5,8.672,0.06,83.425,142.473,84.373,0.228,6.81,1.638,1.76,1.753,2.545,1.891,19.726,1.891,1.753,1.891,0.069,0.0,0.0,0.001,0.069,0.0,1.0,0.693
2.519,2.563,2.567,2.52,8.5,8.672,0.057,83.522,143.337,84.788,0.228,6.776,1.637,1.758,1.761,2.544,1.911,19.734,1.911,1.761,1.911,0.07,0.0,0.0,0.001,0.07,0.0,1.0,0.696
2.52,2.554,2.565,2.523,8.5,8.672,0.056,83.665,144.285,86.462,0.229,6.736,1.64,1.759,1.762,2.542,1.901,19.742,1.901,1.762,1.901,0.071,0.0,0.0,0.001,0.071,0.0,1.0,0.711
2.535,2.541,2.56,2.533,8.5,8.672,0.059,84.0,144.527,87.895,0.229,6.709,1.655,1.76,1.758,2.543,1.882,19.749,1.882,1.758,1.882,0.071,0.0,0.0,0.001,0.071,0.0,1.0,0.723
2.559,2.529,2.551,2.548,8.5,8.672,0.065,84.279,144.377,88.99,0.228,6.684,1.68,1.766,1.751,2.546,1.864,19.737,1.864,1.751,1.864,0.069,0.0,0.0,0.001,0.069,0.0,1.0,0.733
2.582,2.52,2.542,2.559,8.5,8.672,0.071,84.438,143.715,88.667,0.226,6.639,1.704,1.774,1.751,2.548,1.849,19.725,1.849,1.751,1.849,0.067,0.0,0.0,0.001,0.067,0.0,1.0,0.73
2.59,2.513,2.535,2.561,8.5,8.672,0.073,84.301,141.894,89.579,0.226,6.588,1.71,1.769,1.754,2.547,1.854,19.713,1.854,1.754,1.854,0.068,0.0,0.0,0.001,0.068,0.0,1.0,0.738
2.577,2.511,2.532,2.555,8.5,8.625,0.071,84.039,139.732,91.641,0.229,6.558,1.711,1.78,1.768,2.541,1.866,19.672,1.866,1.768,1.866,0.072,0.0,0.0,0.001,0.072,0.0,1.0,0.756
2.549,2.514,2.535,2.546,8.5,8.672,0.068,83.627,137.264,91.903,0.227,6.571,1.712,1.78,1.776,2.534,1.874,19.63,1.874,1.776,1.874,0.076,0.0,0.0,0.001,0.076,0.0,1.0,0.758
2.523,2.523,2.542,2.539,8.5,8.672,0.064,82.885,134.926,87.058,0.225,6.606,1.717,1.786,1.783,2.53,1.879,19.589,1.879,1.783,1.879,0.078,0.0,0.0,0.001,0.078,0.0,1.0,0.716
2.512,2.532,2.55,2.536,8.5,8.672,0.062,82.058,132.966,84.724,0.222,6.641,1.725,1.79,1.788,2.531,1.886,19.633,1.886,1.788,1.886,0.078,0.0,0.0,0.001,0.078,0.0,1.0,0.696
2.512,2.54,2.557,2.534,8.5,8.672,0.061,81.209,131.86,82.922,0.22,6.683,1.737,1.79,1.79,2.534,1.887,19.677,1.887,1.79,1.887,0.076,0.0,0.0,0.001,0.076,0.0,1.0,0.68
2.518,2.549,2.567,2.532,8.5,8.672,0.059,80.522,131.684,80.966,0.219,6.741,1.756,1.803,1.792,2.539,1.896,19.722,1.896,1.792,1.896,0.073,0.0,0.0,0.001,0.073,0.0,1.0,0.664
2.526,2.564,2.579,2.531,8.5,8.672,0.058,80.006,132.083,79.047,0.217,6.834,1.763,1.808,1.807,2.547,1.933,19.715,1.933,1.807,1.933,0.068,0.0,0.0,0.001,0.068,0.0,1.0,0.647
2.535,2.583,2.595,2.538,8.5,8.672,0.059,79.876,133.389,77.39,0.213,6.955,1.739,1.806,1.83,2.561,1.999,19.708,1.999,1.83,1.999,0.06,0.0,0.0,0.001,0.06,0.0,1.0,0.633
2.547,2.599,2.609,2.556,8.5,8.693,0.061,80.009,134.854,75.618,0.207,7.068,1.709,1.807,1.863,2.576,2.082,19.702,2.082,1.863,2.082,0.05,0.0,0.0,0.001,0.05,0.0,1.0,0.617
